galaxy_id,field_id,log10_gbar,gbar,gobs,proxy_value,delta_ref,primary_resolution,crossfit_ok,stratum,rad_arcsec,vrot_kms,gstar,log10_gstar,ggas,gravity_step_relative_change
WALLABY J124947+035042,NGC4808,-11.258863294,5.50981105411e-12,1.58693646683e-11,10.296260841,-0.249048537454,True,True,middle,7.5,13.3,4.7408634709e-12,-11.3241425515,7.68947583207e-13,1.90485512565e-07
WALLABY J124947+035042,NGC4808,-11.3123129668,4.8717728773e-12,8.02169457619e-12,10.296260841,-0.515894474934,True,True,middle,22.56,16.4,2.51403126236e-12,-11.5996293261,2.35774161494e-12,5.71102778188e-06
WALLABY J124947+035042,NGC4808,-11.3771795983,4.19585432548e-12,4.69509319504e-12,10.296260841,-0.712988801365,True,True,middle,37.61,16.2,1.12814430082e-12,-11.9476353462,3.06771002465e-12,3.23280865805e-07
WALLABY J124947+035042,NGC4808,-11.4903066483,3.2336525331e-12,3.1088759977e-12,10.296260841,-0.830577039799,True,True,middle,52.67,15.6,5.63058727143e-13,-12.2494463058,2.67059380596e-12,1.21352568128e-06
WALLABY J124947+035042,NGC4808,-11.598510605,2.52051563046e-12,2.17632626256e-12,10.296260841,-0.927222730052,True,True,middle,67.72,14.8,3.23393826946e-13,-12.4902682743,2.19712180352e-12,6.30387123464e-07
WALLABY J124947+035042,NGC4808,-11.6859058501,2.06107668184e-12,1.5479262754e-12,10.296260841,-1.02850915012,True,True,middle,82.78,13.8,2.08436785619e-13,-12.6810256329,1.85263989622e-12,2.16014584166e-06
WALLABY J124947+035042,NGC4808,-11.7785293441,1.6652163098e-12,1.07453632995e-12,10.296260841,-1.13786307578,True,True,middle,97.84,12.5,1.4588468155e-13,-12.8359903083,1.51933162825e-12,1.65426848886e-06
WALLABY J125451+023900,NGC4808,-11.0226092717,9.49272125318e-12,1.53739162766e-10,5.45694417567,0.604888955967,True,True,low,7.5,47.9,6.75758682468e-12,-11.1702083656,2.7351344285e-12,5.0426812204e-07
WALLABY J125451+023900,NGC4808,-10.8829030099,1.30947433257e-11,9.73281731803e-11,5.45694417567,0.326219801445,True,True,low,22.56,66.1,6.16894413152e-12,-11.2097891629,6.92579919418e-12,9.76155957762e-07
WALLABY J125451+023900,NGC4808,-10.895336222,1.27251754221e-11,7.51612408931e-11,5.45694417567,0.22117031881,True,True,low,37.61,75,4.09308505384e-12,-11.3879492307,8.63209036824e-12,2.24523622806e-06
WALLABY J125451+023900,NGC4808,-11.0130552509,9.70386506933e-12,5.81987286521e-11,5.45694417567,0.177587332541,True,True,low,52.67,78.1,2.5927476768e-12,-11.5862397462,7.11111739254e-12,4.3675329296e-07
WALLABY J125451+023900,NGC4808,-11.0663063032,8.58407882238e-12,4.67841564905e-11,5.45694417567,0.112955505842,True,True,low,67.72,79.4,1.6663186314e-12,-11.7782419497,6.91776019098e-12,6.24985854067e-07
WALLABY J125451+023900,NGC4808,-11.1071411139,7.81373874129e-12,3.71246896919e-11,5.45694417567,0.0355275314019,True,True,low,82.78,78.2,1.11098796071e-12,-11.9542906473,6.70275078059e-12,5.18265059106e-06
WALLABY J125515+081543,NGC4808,-10.0737897511,8.43743128417e-11,5.72516651694e-12,17.9577865535,-1.40990219415,True,True,high,7.5,44.3,8.43743128417e-11,-10.0737897511,0,1.94787885764e-06
WALLABY J125515+081543,NGC4808,-10.7242876366,1.88674133182e-11,2.78632914509e-12,17.9577865535,-1.31000134276,True,True,high,22.56,53.6,1.82364143224e-11,-10.7390605494,6.30998995711e-13,1.00417737698e-08
WALLABY J125515+081543,NGC4808,-11.1664690505,6.81602146564e-12,5.09708671702e-13,17.9577865535,-1.79358687376,True,True,high,37.61,29.6,5.98163663566e-12,-11.2231799724,8.34384829973e-13,6.53536558346e-07
