galaxy_id,field_id,release_phase,qflag_model,rad_arcsec,vrot_kms
WALLABY J124947+035042,NGC4808,2,0,7.5,13.3
WALLABY J124947+035042,NGC4808,2,0,22.56,16.4
WALLABY J124947+035042,NGC4808,2,0,37.61,16.2
WALLABY J124947+035042,NGC4808,2,0,52.67,15.6
WALLABY J124947+035042,NGC4808,2,0,67.72,14.8
WALLABY J124947+035042,NGC4808,2,0,82.78,13.8
WALLABY J124947+035042,NGC4808,2,0,97.84,12.5
WALLABY J125451+023900,NGC4808,2,0,7.5,47.9
WALLABY J125451+023900,NGC4808,2,0,22.56,66.1
WALLABY J125451+023900,NGC4808,2,0,37.61,75
WALLABY J125451+023900,NGC4808,2,0,52.67,78.1
WALLABY J125451+023900,NGC4808,2,0,67.72,79.4
WALLABY J125451+023900,NGC4808,2,0,82.78,78.2
WALLABY J125515+081543,NGC4808,2,0,7.5,44.3
WALLABY J125515+081543,NGC4808,2,0,22.56,53.6
WALLABY J125515+081543,NGC4808,2,0,37.61,29.6
WALLABY J125604+034843,NGC4808,2,0,7.5,29.6
WALLABY J125604+034843,NGC4808,2,0,22.56,42.8
WALLABY J125604+034843,NGC4808,2,0,37.61,53
WALLABY J125604+034843,NGC4808,2,0,52.67,60.5
WALLABY J125604+034843,NGC4808,2,0,67.72,64.4
WALLABY J125604+034843,NGC4808,2,0,82.78,64.2
WALLABY J125604+034843,NGC4808,2,0,97.84,60.4
WALLABY J130148-114530,NGC5044,2,0,7.5,111.9
WALLABY J130148-114530,NGC5044,2,0,22.48,120.1
WALLABY J130148-114530,NGC5044,2,0,37.47,136.5
WALLABY J130148-114530,NGC5044,2,0,52.45,134.7
WALLABY J130148-114530,NGC5044,2,0,67.43,134
WALLABY J130223-122031,NGC5044,2,0,7.5,192.7
WALLABY J130223-122031,NGC5044,2,0,22.48,186
WALLABY J130223-122031,NGC5044,2,0,37.47,196
WALLABY J130223-122031,NGC5044,2,0,52.45,192.3
WALLABY J130223-122031,NGC5044,2,0,67.43,186.5
WALLABY J130235-113803,NGC5044,2,0,7.5,45.9
WALLABY J130235-113803,NGC5044,2,0,22.48,79.6
WALLABY J130235-113803,NGC5044,2,0,37.47,95.6
WALLABY J130235-113803,NGC5044,2,0,52.45,103
WALLABY J130235-113803,NGC5044,2,0,67.43,106.8
WALLABY J130235-113803,NGC5044,2,0,82.42,107.4
WALLABY J130235-113803,NGC5044,2,0,97.4,110.3
WALLABY J130315+074816,NGC4808,2,0,7.5,105.5
WALLABY J130315+074816,NGC4808,2,0,22.56,154.7
