galaxy_id,team_release,field_id,shard_index,status,reason,response_products_used,n_profile_annuli,profile_q_source,profile_rmax_arcsec,moment0_shape,mask_shape,n_mask_finite_pixels,pixel_scale_arcsec,moment0_inside_mask_sum,moment0_inside_mask_negative_pixels,mom0_url,mask_url,mom0_sha256,mask_sha256,mom0_bytes,mask_bytes
WALLABY J124747+042017,NGC 4808 TR1,NGC4808,21,pass,,False,36,0.8351657230610481,216.000000000432,84x72,65x84x72,2346,6.000000000012,3335993.25,91,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/WALLABY/WALLABY_J124747+042017_NGC_4808_TR1_mom0.fits,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/WALLABY/WALLABY_J124747+042017_NGC_4808_TR1_mask.fits,635dbffc357218ee52146af8709d677337e7fdd828878a0095588f5d66ebdf28,f2de19637210cf0a3a7ff5f9359539c02342ca33433312083d0ec86a8b9ff2e7,37440,406080
WALLABY J124805+065910,NGC 4808 TR1,NGC4808,18,profile_rejected,negative source annular moment-0 weight; no clipping is allowed,False,,,,36x37,70x36x37,205,6.000000000012,194657.703125,15,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/WALLABY/WALLABY_J124805+065910_NGC_4808_TR1_mom0.fits,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/WALLABY/WALLABY_J124805+065910_NGC_4808_TR1_mask.fits,c5bd7b90380a99f4884832ffcd1f8e76d24b2090ab392e4de8e9ebd65c35c888,389db6610621ec8d3962f2ba6f960576d71a394a8e0476f4ea2fd71f7a347635,17280,106560
WALLABY J124822+082925,NGC 4808 TR1,NGC4808,3,profile_rejected,negative source annular moment-0 weight; no clipping is allowed,False,,,,127x69,160x127x69,3032,6.000000000012,2588630.5,128,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/WALLABY/WALLABY_J124822+082925_NGC_4808_TR1_mom0.fits,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/WALLABY/WALLABY_J124822+082925_NGC_4808_TR1_mask.fits,2228951a6d0cb10900a72aa518c444ab2264d0cf686e567f9ca8c5b5bf3c410e,28e0f82f8a5da2731e90764401b92123ca39ed9674d3739527a53d2f3626fa2f,48960,1414080
WALLABY J124911+032310,NGC 4808 TR1,NGC4808,15,pass,,False,52,0.7845395032135449,312.000000000624,102x103,94x102x103,4652,6.000000000012,5304761.0,122,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/WALLABY/WALLABY_J124911+032310_NGC_4808_TR1_mom0.fits,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/WALLABY/WALLABY_J124911+032310_NGC_4808_TR1_mask.fits,1c504c97d70e1980c6d7293a60dbdbfaa0fd9834aa8034f627fdb4158d4a7955,19fa9f265e8d13b05def73a6d7ec42ab9996ce940fff0d8aaea71c2f5eac2506,54720,999360
WALLABY J124923+050820,NGC 4808 TR1,NGC4808,1,profile_rejected,negative source annular moment-0 weight; no clipping is allowed,False,,,,38x37,94x38x37,205,6.000000000012,110671.03125,23,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/WALLABY/WALLABY_J124923+050820_NGC_4808_TR1_mom0.fits,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/WALLABY/WALLABY_J124923+050820_NGC_4808_TR1_mask.fits,7cd0bf8e192427a2672bc175d32c11f8c2b663bbbc802faaadad26db3a9c747e,0e40cf10491bd23951dc5504a3500738b035e638d91322c386ccb9d5f3b9098d,17280,144000
WALLABY J124935+033620,NGC 4808 TR1,NGC4808,19,pass,,False,11,0.8780879841184608,66.000000000132,36x39,73x36x39,214,6.000000000012,113134.140625,29,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/WALLABY/WALLABY_J124935+033620_NGC_4808_TR1_mom0.fits,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/WALLABY/WALLABY_J124935+033620_NGC_4808_TR1_mask.fits,2127d472eebd7912f052c796201e697b8844052db1d078b42c8af1a5aff1e93d,2ef851188df5154fc82e169c68291a4cb8a1bee0492c9d5d4ea014de60eebf0a,17280,115200
WALLABY J124937+074725,NGC 4808 TR1,NGC4808,1,pass,,False,11,0.6121953888111954,66.000000000132,35x32,99x35x32,143,6.000000000012,72650.375,13,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/WALLABY/WALLABY_J124937+074725_NGC_4808_TR1_mom0.fits,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/WALLABY/WALLABY_J124937+074725_NGC_4808_TR1_mask.fits,bc78f42926a4c5a541a70258d30fdc48d09201a95a7d1c278ae9996864f61c3d,942a33f2bad746259b54590d9daaf7a210d803ce7d0927ba57194c020ce71ad5,17280,123840
WALLABY J124947+035042,NGC 4808 TR1,NGC4808,10,pass,,False,30,0.7837959657523275,180.00000000036002,67x52,58x67x52,950,6.000000000012,587247.75,72,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/WALLABY/WALLABY_J124947+035042_NGC_4808_TR1_mom0.fits,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/WALLABY/WALLABY_J124947+035042_NGC_4808_TR1_mask.fits,56627549ff7aef3cdbe9bea04c5e71026a62dc7cc9ad223910f1802523545c14,35eaf5856d92f78ee81e85fee4ddf405fdf89dcb771e537e3d56322ed2eb0fef,25920,216000
WALLABY J124950+025100,NGC 4808 TR1,NGC4808,2,profile_rejected,negative source annular moment-0 weight; no clipping is allowed,False,,,,59x37,93x59x37,524,6.000000000012,678428.5625,94,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/WALLABY/WALLABY_J124950+025100_NGC_4808_TR1_mom0.fits,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/WALLABY/WALLABY_J124950+025100_NGC_4808_TR1_mask.fits,91f4956468743b6de969c990f4741593a4c7621eb8faeba6032d272e130a2f47,762bc05035f59273348cce1d0739a3547ddb9164e3b56e4e5cc8d29c2cf3efcc,23040,216000
WALLABY J124957+040438,NGC 4808 TR1,NGC4808,17,pass,,False,11,0.9024691443712405,66.000000000132,36x35,83x36x35,164,6.000000000012,88084.7265625,20,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/WALLABY/WALLABY_J124957+040438_NGC_4808_TR1_mom0.fits,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/WALLABY/WALLABY_J124957+040438_NGC_4808_TR1_mask.fits,a6fe2298f5f3b406ca5e0a80b80ae8397caed477df6a0563be6bbcefea968361,fd019f4ef37a2f795c7cecb32e2197a9c6a219e43d077930c402f9b743982d39,17280,118080
WALLABY J124959+054921,NGC 4808 TR1,NGC4808,0,profile_rejected,negative source annular moment-0 weight; no clipping is allowed,False,,,,39x36,62x39x36,222,6.000000000012,83007.109375,31,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/WALLABY/WALLABY_J124959+054921_NGC_4808_TR1_mom0.fits,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/WALLABY/WALLABY_J124959+054921_NGC_4808_TR1_mask.fits,838d6b0980e73edb1bcc87eadce94e284953014ca103b5b8c110b0324e52b1ce,c8ab88c29d44be467c954df929c519d06ab710fabc16769542dba79bf45e2286,17280,100800
WALLABY J125012+073442,NGC 4808 TR1,NGC4808,19,pass,,False,31,0.5162392842704804,186.000000000372,47x56,105x47x56,524,6.000000000012,277499.4375,51,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/WALLABY/WALLABY_J125012+073442_NGC_4808_TR1_mom0.fits,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/WALLABY/WALLABY_J125012+073442_NGC_4808_TR1_mask.fits,1ca7a9d19e47f4a7104be3feeaa476b3d655f83f30bdaf639f0b0c4b0dbd03fa,38700728a282a690cd985d731cefc6243d1356d608ca3850e5140e5687005b08,23040,288000
WALLABY J125103+072753,NGC 4808 TR1,NGC4808,6,profile_rejected,negative source annular moment-0 weight; no clipping is allowed,False,,,,34x38,112x34x38,186,6.000000000012,57058.921875,33,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/WALLABY/WALLABY_J125103+072753_NGC_4808_TR1_mom0.fits,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/WALLABY/WALLABY_J125103+072753_NGC_4808_TR1_mask.fits,26b4e9a5b016e49d7b2131d5fc635d3d6fe531d7a72bff63aa909d5dbcfcceee,92449825f5d1ea6299ae237f86b2593f1e028d9892f46163ee5a395daeeaa4fd,17280,158400
WALLABY J125112+045132,NGC 4808 TR1,NGC4808,16,pass,,False,24,0.8895542124786254,144.000000000288,53x48,108x53x48,590,6.000000000012,347604.75,103,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/WALLABY/WALLABY_J125112+045132_NGC_4808_TR1_mom0.fits,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/WALLABY/WALLABY_J125112+045132_NGC_4808_TR1_mask.fits,2af5c86e6f4f8fe716645c095f265c12ea1a96a003433966e90e3dfbbedf0ee7,f2b0adf378a7b360efc794461e96d9ad78a76d0d94c3a1eded14978af874b127,23040,288000
WALLABY J125114+052031,NGC 4808 TR1,NGC4808,8,pass,,False,12,0.8249959138176178,72.000000000144,42x38,62x42x38,304,6.000000000012,137505.953125,19,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/WALLABY/WALLABY_J125114+052031_NGC_4808_TR1_mom0.fits,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/WALLABY/WALLABY_J125114+052031_NGC_4808_TR1_mask.fits,fbcb46fdf32e58bc31d5d6fa29ebe2048a6c25633e17a4d6ce53ede2ae2558ba,a2ce8ec8818ea53d6ccd08bbd93bb06bbb55112b578abe94efeced9d01f7aca1,20160,112320
WALLABY J125119+053108,NGC 4808 TR1,NGC4808,18,profile_rejected,negative source annular moment-0 weight; no clipping is allowed,False,,,,35x37,89x35x37,173,6.000000000012,62662.828125,34,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/WALLABY/WALLABY_J125119+053108_NGC_4808_TR1_mom0.fits,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/WALLABY/WALLABY_J125119+053108_NGC_4808_TR1_mask.fits,74e09137bcaf24d648b9c919270fad81bcf4c2f3796478c964435fb436f18c8d,4815186fb883e9a46913e145e6bad68e88c99f0da957bd003dbcf8a5d2d5804a,17280,129600
WALLABY J125121+063829,NGC 4808 TR1,NGC4808,3,pass,,False,9,0.9527812470572723,54.000000000108,34x36,62x34x36,177,6.000000000012,61458.71484375,40,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/WALLABY/WALLABY_J125121+063829_NGC_4808_TR1_mom0.fits,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/WALLABY/WALLABY_J125121+063829_NGC_4808_TR1_mask.fits,7cbd4efe99b9b651b8435fd525833dd3aff0d364478896ab4297ecefc832419d,567644c5f75bcfd9bfa295751b90a0f15985e3b963662fc058f56aa3c9d145b6,17280,89280
