family,color,luminosity_band,intercept_a,slope_b,relation,color_value_mag,log10_L_band_Lsun,log10_Mstar_Msun
RC15_BC03,g-r,g,-0.984000,2.029000,log10_ML=a+b*color,0.7806295557335776,10.281122863907429,10.881020232490858
RC15_BC03,g-r,r,-0.792000,1.629000,log10_ML=a+b*color,0.7806295557335776,10.417374686200858,10.897020232490856
RC15_BC03,g-r,z,-0.796000,1.306000,log10_ML=a+b*color,0.7806295557335776,10.639127636724604,10.862629836512657
RC15_BC03,g-z,g,-1.132000,1.116000,log10_ML=a+b*color,1.4450119320429415,10.281122863907429,10.761756180067351
RC15_BC03,g-z,r,-0.916000,0.900000,log10_ML=a+b*color,1.4450119320429415,10.417374686200858,10.801885425039506
RC15_BC03,g-z,z,-0.888000,0.716000,log10_ML=a+b*color,1.4450119320429415,10.639127636724604,10.78575618006735
RC15_BC03,r-z,g,-1.211000,2.322000,log10_ML=a+b*color,0.6643823763093639,10.281122863907429,10.612818741697772
RC15_BC03,r-z,r,-0.987000,1.883000,log10_ML=a+b*color,0.6643823763093639,10.417374686200858,10.68140670079139
RC15_BC03,r-z,z,-0.935000,1.483000,log10_ML=a+b*color,0.6643823763093639,10.639127636724604,10.689406700791391
RC15_FSPS,g-r,g,-0.811000,1.897000,log10_ML=a+b*color,0.7806295557335776,10.281122863907429,10.950977131134026
RC15_FSPS,g-r,r,-0.647000,1.497000,log10_ML=a+b*color,0.7806295557335776,10.417374686200858,10.938977131134024
RC15_FSPS,g-r,z,-0.583000,1.102000,log10_ML=a+b*color,0.7806295557335776,10.639127636724604,10.916381407143007
RC15_FSPS,g-z,g,-0.764000,0.942000,log10_ML=a+b*color,1.4450119320429415,10.281122863907429,10.878324103891881
RC15_FSPS,g-z,r,-0.612000,0.744000,log10_ML=a+b*color,1.4450119320429415,10.417374686200858,10.880463563640808
RC15_FSPS,g-z,z,-0.548000,0.542000,log10_ML=a+b*color,1.4450119320429415,10.639127636724604,10.874324103891878
RC15_FSPS,r-z,g,-0.670000,1.795000,log10_ML=a+b*color,0.6643823763093639,10.281122863907429,10.803689229382737
RC15_FSPS,r-z,r,-0.539000,1.421000,log10_ML=a+b*color,0.6643823763093639,10.417374686200858,10.822462042936465
RC15_FSPS,r-z,z,-0.487000,1.021000,log10_ML=a+b*color,0.6643823763093639,10.639127636724604,10.830462042936464
Z17_40LG_FSPS,g-r,g,-0.684000,1.575000,log10_ML=a+b*color,0.7806295557335776,10.281122863907429,10.826614414187814
Z17_40LG_FSPS,g-r,r,-0.491000,1.175000,log10_ML=a+b*color,0.7806295557335776,10.417374686200858,10.843614414187812
Z17_40LG_FSPS,g-r,z,-0.447000,0.911000,log10_ML=a+b*color,0.7806295557335776,10.639127636724604,10.903281161997894
Z17_40LG_FSPS,g-z,g,-0.680000,0.928000,log10_ML=a+b*color,1.4450119320429415,10.281122863907429,10.942093936843278
Z17_40LG_FSPS,g-z,r,-0.486000,0.690000,log10_ML=a+b*color,1.4450119320429415,10.417374686200858,10.928432919310488
Z17_40LG_FSPS,g-z,z,-0.438000,0.528000,log10_ML=a+b*color,1.4450119320429415,10.639127636724604,10.964093936843277
Z17_40LG_FSPS,r-z,g,-0.639000,2.157000,log10_ML=a+b*color,0.6643823763093639,10.281122863907429,11.075195649606728
Z17_40LG_FSPS,r-z,r,-0.453000,1.596000,log10_ML=a+b*color,0.6643823763093639,10.417374686200858,11.024728958790604
Z17_40LG_FSPS,r-z,z,-0.404000,1.196000,log10_ML=a+b*color,0.6643823763093639,10.639127636724604,11.029728958790603
Z17_40LG_BC03,g-r,g,-0.745000,1.616000,log10_ML=a+b*color,0.7806295557335776,10.281122863907429,10.797620225972892
Z17_40LG_BC03,g-r,r,-0.552000,1.216000,log10_ML=a+b*color,0.7806295557335776,10.417374686200858,10.81462022597289
Z17_40LG_BC03,g-r,z,-0.501000,0.937000,log10_ML=a+b*color,0.7806295557335776,10.639127636724604,10.869577530446966
Z17_40LG_BC03,g-z,g,-0.712000,0.920000,log10_ML=a+b*color,1.4450119320429415,10.281122863907429,10.898533841386936
Z17_40LG_BC03,g-z,r,-0.523000,0.687000,log10_ML=a+b*color,1.4450119320429415,10.417374686200858,10.88709788351436
Z17_40LG_BC03,g-z,z,-0.470000,0.520000,log10_ML=a+b*color,1.4450119320429415,10.639127636724604,10.920533841386932
Z17_40LG_BC03,r-z,g,-0.518000,1.084000,log10_ML=a+b*color,0.6643823763093639,10.281122863907429,10.483313359826779
Z17_40LG_BC03,r-z,r,-0.357000,0.794000,log10_ML=a+b*color,0.6643823763093639,10.417374686200858,10.587894292990494
Z17_40LG_BC03,r-z,z,-0.309000,0.403000,log10_ML=a+b*color,0.6643823763093639,10.639127636724604,10.597873734377279
B19_CBe_Chabrier_HUB3_Late_SynR,g-r,g,-0.870000,1.910000,log10_ML=a+b*color,0.7806295557335776,10.281122863907429,10.902125315358562
B19_CBe_Chabrier_HUB3_Late_SynR,g-r,r,-0.680000,1.540000,log10_ML=a+b*color,0.7806295557335776,10.417374686200858,10.939544202030568
B19_CBe_Chabrier_HUB3_Late_SynR,g-r,z,-0.710000,1.270000,log10_ML=a+b*color,0.7806295557335776,10.639127636724604,10.92052717250625
B19_CBe_Chabrier_HUB3_Late_SynR,g-z,g,-1.070000,1.130000,log10_ML=a+b*color,1.4450119320429415,10.281122863907429,10.843986347115953
B19_CBe_Chabrier_HUB3_Late_SynR,g-z,r,-0.850000,0.920000,log10_ML=a+b*color,1.4450119320429415,10.417374686200858,10.896785663680365
B19_CBe_Chabrier_HUB3_Late_SynR,g-z,z,-0.830000,0.750000,log10_ML=a+b*color,1.4450119320429415,10.639127636724604,10.89288658575681
B19_CBe_Chabrier_HUB3_Late_SynR,r-z,g,-1.150000,2.240000,log10_ML=a+b*color,0.6643823763093639,10.281122863907429,10.619339386840403
B19_CBe_Chabrier_HUB3_Late_SynR,r-z,r,-0.920000,1.820000,log10_ML=a+b*color,0.6643823763093639,10.417374686200858,10.706550611083902
B19_CBe_Chabrier_HUB3_Late_SynR,r-z,z,-0.880000,1.460000,log10_ML=a+b*color,0.6643823763093639,10.639127636724604,10.729125906136275
