family,color,luminosity_band,intercept_a,slope_b,relation,color_value_mag,log10_L_band_Lsun,log10_Mstar_Msun
RC15_BC03,g-r,g,-0.984000,2.029000,log10_ML=a+b*color,0.6232757816372931,10.380118917264534,10.660745478206602
RC15_BC03,g-r,r,-0.792000,1.629000,log10_ML=a+b*color,0.6232757816372931,10.45342922991945,10.676745478206602
RC15_BC03,g-r,z,-0.796000,1.306000,log10_ML=a+b*color,0.6232757816372931,10.600226560309316,10.618224731127622
RC15_BC03,g-z,g,-1.132000,1.116000,log10_ML=a+b*color,1.1002691076119575,10.380118917264534,10.476019241359479
RC15_BC03,g-z,r,-0.916000,0.900000,log10_ML=a+b*color,1.1002691076119575,10.45342922991945,10.527671426770212
RC15_BC03,g-z,z,-0.888000,0.716000,log10_ML=a+b*color,1.1002691076119575,10.600226560309316,10.500019241359478
RC15_BC03,r-z,g,-1.211000,2.322000,log10_ML=a+b*color,0.4769933259746644,10.380118917264534,10.276697420177705
RC15_BC03,r-z,r,-0.987000,1.883000,log10_ML=a+b*color,0.4769933259746644,10.45342922991945,10.364607662729743
RC15_BC03,r-z,z,-0.935000,1.483000,log10_ML=a+b*color,0.4769933259746644,10.600226560309316,10.372607662729743
RC15_FSPS,g-r,g,-0.811000,1.897000,log10_ML=a+b*color,0.6232757816372931,10.380118917264534,10.751473075030479
RC15_FSPS,g-r,r,-0.647000,1.497000,log10_ML=a+b*color,0.6232757816372931,10.45342922991945,10.739473075030478
RC15_FSPS,g-r,z,-0.583000,1.102000,log10_ML=a+b*color,0.6232757816372931,10.600226560309316,10.704076471673613
RC15_FSPS,g-z,g,-0.764000,0.942000,log10_ML=a+b*color,1.1002691076119575,10.380118917264534,10.652572416635
RC15_FSPS,g-z,r,-0.612000,0.744000,log10_ML=a+b*color,1.1002691076119575,10.45342922991945,10.660029445982747
RC15_FSPS,g-z,z,-0.548000,0.542000,log10_ML=a+b*color,1.1002691076119575,10.600226560309316,10.648572416634998
RC15_FSPS,r-z,g,-0.670000,1.795000,log10_ML=a+b*color,0.4769933259746644,10.380118917264534,10.566321937389057
RC15_FSPS,r-z,r,-0.539000,1.421000,log10_ML=a+b*color,0.4769933259746644,10.45342922991945,10.59223674612945
RC15_FSPS,r-z,z,-0.487000,1.021000,log10_ML=a+b*color,0.4769933259746644,10.600226560309316,10.600236746129449
Z17_40LG_FSPS,g-r,g,-0.684000,1.575000,log10_ML=a+b*color,0.6232757816372931,10.380118917264534,10.677778273343272
Z17_40LG_FSPS,g-r,r,-0.491000,1.175000,log10_ML=a+b*color,0.6232757816372931,10.45342922991945,10.694778273343271
Z17_40LG_FSPS,g-r,z,-0.447000,0.911000,log10_ML=a+b*color,0.6232757816372931,10.600226560309316,10.721030797380891
Z17_40LG_FSPS,g-z,g,-0.680000,0.928000,log10_ML=a+b*color,1.1002691076119575,10.380118917264534,10.721168649128431
Z17_40LG_FSPS,g-z,r,-0.486000,0.690000,log10_ML=a+b*color,1.1002691076119575,10.45342922991945,10.7266149141717
Z17_40LG_FSPS,g-z,z,-0.438000,0.528000,log10_ML=a+b*color,1.1002691076119575,10.600226560309316,10.74316864912843
Z17_40LG_FSPS,r-z,g,-0.639000,2.157000,log10_ML=a+b*color,0.4769933259746644,10.380118917264534,10.769993521391886
Z17_40LG_FSPS,r-z,r,-0.453000,1.596000,log10_ML=a+b*color,0.4769933259746644,10.45342922991945,10.761710578175016
Z17_40LG_FSPS,r-z,z,-0.404000,1.196000,log10_ML=a+b*color,0.4769933259746644,10.600226560309316,10.766710578175015
Z17_40LG_BC03,g-r,g,-0.745000,1.616000,log10_ML=a+b*color,0.6232757816372931,10.380118917264534,10.6423325803904
Z17_40LG_BC03,g-r,r,-0.552000,1.216000,log10_ML=a+b*color,0.6232757816372931,10.45342922991945,10.6593325803904
Z17_40LG_BC03,g-r,z,-0.501000,0.937000,log10_ML=a+b*color,0.6232757816372931,10.600226560309316,10.68323596770346
Z17_40LG_BC03,g-z,g,-0.712000,0.920000,log10_ML=a+b*color,1.1002691076119575,10.380118917264534,10.680366496267535
Z17_40LG_BC03,g-z,r,-0.523000,0.687000,log10_ML=a+b*color,1.1002691076119575,10.45342922991945,10.686314106848865
Z17_40LG_BC03,g-z,z,-0.470000,0.520000,log10_ML=a+b*color,1.1002691076119575,10.600226560309316,10.702366496267533
Z17_40LG_BC03,r-z,g,-0.518000,1.084000,log10_ML=a+b*color,0.4769933259746644,10.380118917264534,10.37917968262107
Z17_40LG_BC03,r-z,r,-0.357000,0.794000,log10_ML=a+b*color,0.4769933259746644,10.45342922991945,10.475161930743335
Z17_40LG_BC03,r-z,z,-0.309000,0.403000,log10_ML=a+b*color,0.4769933259746644,10.600226560309316,10.483454870677107
B19_CBe_Chabrier_HUB3_Late_SynR,g-r,g,-0.870000,1.910000,log10_ML=a+b*color,0.6232757816372931,10.380118917264534,10.700575660191765
B19_CBe_Chabrier_HUB3_Late_SynR,g-r,r,-0.680000,1.540000,log10_ML=a+b*color,0.6232757816372931,10.45342922991945,10.733273933640882
B19_CBe_Chabrier_HUB3_Late_SynR,g-r,z,-0.710000,1.270000,log10_ML=a+b*color,0.6232757816372931,10.600226560309316,10.681786802988677
B19_CBe_Chabrier_HUB3_Late_SynR,g-z,g,-1.070000,1.130000,log10_ML=a+b*color,1.1002691076119575,10.380118917264534,10.553423008866046
B19_CBe_Chabrier_HUB3_Late_SynR,g-z,r,-0.850000,0.920000,log10_ML=a+b*color,1.1002691076119575,10.45342922991945,10.615676808922451
B19_CBe_Chabrier_HUB3_Late_SynR,g-z,z,-0.830000,0.750000,log10_ML=a+b*color,1.1002691076119575,10.600226560309316,10.595428391018284
