checkfit_json,common_aperture_arcsec,contained,frame_status,galaxy_id,logMstar,logMstar_method_sd,n_intersecting_bricks,n_retained,pair_to_next_abs_delta_background_over_mean_RMS,pair_to_next_abs_delta_common_aperture_arcsec,pair_to_next_abs_delta_log10_Mstar_dex,pair_to_next_abs_delta_stage1_R50_arcsec,pair_to_next_pass,r_background,r_background_rms,reason,safe_radius_arcsec,size_pix,stage1_R50_arcsec,stage1_Rd_arcsec
"{""g"": {}, ""r"": {""FFT coefficients"": true, ""Light symmetry"": true, ""initial fit compare"": true, ""isophote variability"": true}, ""z"": {}}",116.79739093457917,True,success,WALLABY J124747+042017,8.992144540038803,0.18537928544333673,2,65,0.6557306416297498,38.65993639934575,0.04769242403842533,3.7746262941446105,False,0.00164093,0.00137102,,125.61852000000002,1024,42.8795602656511,25.54868601112422
"{""g"": {}, ""r"": {""FFT coefficients"": true, ""Light symmetry"": true, ""initial fit compare"": true, ""isophote variability"": true}, ""z"": {}}",155.45732733392492,True,success,WALLABY J124747+042017,9.039836964077228,0.1615612953713138,2,68,0.29645919718646196,15.545732733392498,0.028390480226200054,1.8742151358277965,False,0.00080388,0.00118201,,159.15452000000002,1280,46.65418655979571,27.797700259427632
"{""g"": {}, ""r"": {""FFT coefficients"": true, ""Light symmetry"": true, ""initial fit compare"": true, ""isophote variability"": true}, ""z"": {}}",171.00306006731742,True,success,WALLABY J124747+042017,9.068227444303428,0.14850347663440439,2,69,0.168112369290784,56.60201288228214,0.04769613487664692,1.777637735966195,False,0.000462485,0.00112114,,192.69052000000002,1536,48.52840169562351,28.914403269577633
"{""g"": {}, ""r"": {""FFT coefficients"": true, ""Light symmetry"": true, ""initial fit compare"": true, ""isophote variability"": true}, ""z"": {}}",227.60507294959956,False,success,WALLABY J124747+042017,9.115923579180075,0.13911797731544273,2,72,0.08487273789207589,22.76050729495995,0.0014637213648622804,1.13980106622936,False,0.000276314,0.0010937,,226.22652000000002,1792,50.3060394315897,29.97356311348366
"{""g"": {}, ""r"": {""FFT coefficients"": true, ""Light symmetry"": true, ""initial fit compare"": true, ""isophote variability"": true}, ""z"": {}}",250.3655802445595,True,success,WALLABY J124747+042017,9.117387300544937,0.13994694705872618,3,73,0.04980305381359434,25.036558024455985,0.018487564217092967,0.24686971938496782,False,0.000183313,0.00109784,,259.76252,2048,51.44584049781906,30.65268433991017
"{""g"": {}, ""r"": {""FFT coefficients"": true, ""Light symmetry"": true, ""initial fit compare"": true, ""isophote variability"": true}, ""z"": {}}",275.4021382690155,True,success,WALLABY J124747+042017,9.13587486476203,0.13716076188642062,3,74,0.02515115888478334,0.0,0.0009281078797425124,0.8241411493198569,False,0.000129071,0.00108042,,293.29852,2304,51.69271021720403,30.799775329350034
"{""g"": {}, ""r"": {""FFT coefficients"": true, ""Light symmetry"": true, ""initial fit compare"": true, ""isophote variability"": true}, ""z"": {}}",275.4021382690155,True,success,WALLABY J124747+042017,9.134946756882288,0.13911271520743074,4,74,0.020478921286815877,0.0,0.005776827381911431,1.3690769912509708,False,0.000102116,0.00106302,,326.83452,2560,52.51685136652389,31.290818691790644
"{""g"": {}, ""r"": {""FFT coefficients"": true, ""Light symmetry"": true, ""initial fit compare"": true, ""isophote variability"": true}, ""z"": {}}",275.4021382690155,True,success,WALLABY J124747+042017,9.1407235842642,0.14067059973735818,4,74,0.004468093362565727,0.0,0.0005835215315173059,0.28110036808040917,True,8.05647e-05,0.00104171,,360.37052,2816,51.14777437527292,30.475089286968714
"{""g"": {}, ""r"": {""FFT coefficients"": true, ""Light symmetry"": true, ""initial fit compare"": true, ""isophote variability"": true}, ""z"": {}}",275.4021382690155,True,success,WALLABY J124747+042017,9.141307105795716,0.14197038779583174,4,74,,,,,,7.59589e-05,0.00101993,,393.90652,3072,51.428874743353326,30.642575730327852
"{""g"": {}, ""r"": {""FFT coefficients"": true, ""Light symmetry"": true, ""initial fit compare"": true, ""isophote variability"": true}, ""z"": {}}",116.79739093457917,True,success,WALLABY J124911+032310,9.001604473697409,0.1483612541813435,4,65,0.21762815310197056,24.52745209626167,0.0019409825900496003,0.3965414776008771,False,0.00040566,0.00125646,,124.04128000000001,1024,18.32041109366817,10.91574698357597
