SFD_EBV,common_aperture_arcsec,field_id,full_stellar,galaxy_id,logMstar,logMstar_method_sd,n_optical_profile_rows,reason,response_products_used,selected_size_pix,spatial_shard,stage1_R50_arcsec,stage1_Rd_arcsec,status,team_release
0.0305,275.4021382690155,NGC4808,True,WALLABY J124747+042017,9.1407235842642,0.14067059973735818,74,,False,2816,17,51.14777437527292,30.475089286968714,pass,NGC 4808 TR1
0.0291,141.32484303084084,NGC4808,True,WALLABY J124911+032310,9.002323743631573,0.1461958255760336,67,,False,2048,14,18.80647886881784,11.205357998485852,pass,NGC 4808 TR1
0.0316,27.960366776800253,NGC4808,True,WALLABY J124935+033620,9.86818661712835,0.1703332875492552,50,,False,1280,14,5.728741308218922,3.413323551265197,pass,NGC 4808 TR1
0.0296,27.960366776800253,NGC4808,True,WALLABY J124937+074725,9.829770571134219,0.12104004632953441,50,,False,1280,15,5.766151799496705,3.435613632815861,pass,NGC 4808 TR1
0.0415,54.48684486022256,NGC4808,True,WALLABY J124947+035042,7.3464010278706775,0.1473275763713549,57,,False,1280,12,15.023963105304693,8.951643012244777,pass,NGC 4808 TR1
0.036,23.107741137851445,NGC4808,True,WALLABY J124957+040438,8.99590194558559,0.12361495487504173,48,,False,2048,11,8.377470786054037,4.991501063776374,pass,NGC 4808 TR1
0.0335,59.93552934624482,NGC4808,True,WALLABY J125012+073442,10.809439390958373,0.14904955310591492,58,,False,2048,11,5.5768338710206775,3.3228134016347344,pass,NGC 4808 TR1
0.0371,65.92908228086931,NGC4808,True,WALLABY J125112+045132,10.861891625024553,0.1399210813710773,59,,False,1280,11,9.685268042465138,5.770718510579862,pass,NGC 4808 TR1
0.0275,23.107741137851445,NGC4808,True,WALLABY J125114+052031,9.433905815049805,0.15530653956146265,48,,False,1280,1,6.1323736157056805,3.653817507454049,pass,NGC 4808 TR1
0.0305,13.043717454748347,NGC4808,True,WALLABY J125121+063829,9.706977670659334,0.16874562806699372,42,,False,1024,5,3.904037261783109,2.3261204536401348,pass,NGC 4808 TR1
0.0252,25.41851525163659,NGC4808,True,WALLABY J125133+080241,8.77402873603408,0.16338215167349954,49,,False,1280,22,4.394566587219105,2.618389768837659,pass,NGC 4808 TR1
0.033,25.41851525163659,NGC4808,True,WALLABY J125134+055147,10.746620742209737,0.1285047262724771,49,,False,1024,20,5.626924404888049,3.3526585612860615,pass,NGC 4808 TR1
0.0325,13.043717454748347,NGC4808,True,WALLABY J125156+035954,8.76018568945857,0.1550771966320942,42,,False,1280,20,4.813360904080108,2.867917619366855,pass,NGC 4808 TR1
0.0259,15.7828981202455,NGC4808,True,WALLABY J125243+075643,9.91870307890713,0.1465728946413505,44,,False,1024,21,5.598464859133826,3.335701671010386,pass,NGC 4808 TR1
,,NGC4808,False,WALLABY J125308+081035,,,,no adjacent registered frame pair satisfied all frozen convergence criteria,False,,21,,,frame_nonconverged_after_registered_ladder,NGC 4808 TR1
0.0296,25.41851525163659,NGC4808,True,WALLABY J125339+040434,7.39095199627673,0.16737217647948582,49,,False,1280,8,7.451261765641421,4.439643178653691,pass,NGC 4808 TR1
0.0378,40.93677299791326,NGC4808,True,WALLABY J125413+052149,10.53562253660269,0.13876078865262403,54,,False,1024,15,6.411883104154739,3.8203560659950835,pass,NGC 4808 TR1
0.0367,10.779931780783755,NGC4808,True,WALLABY J125441+050734,9.20576171505639,0.17246066984355535,40,,False,1536,15,3.8724637733323313,2.307308200489513,pass,NGC 4808 TR1
0.034,128.4771300280371,NGC4808,True,WALLABY J125451+023900,8.279717468048384,0.1611095324014775,66,,False,1280,17,26.782433271368962,15.957625825100148,pass,NGC 4808 TR1
0.0349,11.857924958862132,NGC4808,True,WALLABY J125500+051140,9.45187864142097,0.1749422837810182,41,,False,1024,15,5.144006513452978,3.0649243237847466,pass,NGC 4808 TR1
0.035,72.52199050895625,NGC4808,True,WALLABY J125507+040229,10.906492035215246,0.13951714577629118,60,,False,1280,11,9.112413178756096,5.429397635268282,pass,NGC 4808 TR1
0.0317,54.48684486022256,NGC4808,True,WALLABY J125515+081543,11.086342500890783,0.13655208218151263,57,,False,1024,16,7.619326051154059,4.539779971886757,pass,NGC 4808 TR1
0.0409,65.92908228086931,NGC4808,True,WALLABY J125523+075436,9.598892528773764,0.15237563553997932,59,,False,1280,5,15.62919671705603,9.312255933977564,pass,NGC 4808 TR1
,,NGC4808,False,WALLABY J125548+045901,,,,no adjacent registered frame pair satisfied all frozen convergence criteria,False,,7,,,frame_nonconverged_after_registered_ladder,NGC 4808 TR1
,,NGC4808,False,WALLABY J125603+045202,,,,no adjacent registered frame pair satisfied all frozen convergence criteria,False,,4,,,frame_nonconverged_after_registered_ladder,NGC 4808 TR1
0.031,106.17944630416288,NGC4808,True,WALLABY J125604+034843,7.205893600269833,0.16993719591971446,64,,False,1536,11,28.670819593559216,17.082772373116125,pass,NGC 4808 TR1
0.0319,13.043717454748347,NGC4808,True,WALLABY J125604+064914,7.801189112347697,0.19499146345524665,42,,False,1536,8,5.685051488330852,3.3872920928433383,pass,NGC 4808 TR1
0.0344,23.107741137851445,NGC4808,True,WALLABY J125605+053051,8.982028497709194,0.14849629319312543,48,,False,1280,22,10.426134284582288,6.21214465578348,pass,NGC 4808 TR1
0.0374,54.48684486022256,NGC4808,True,WALLABY J125627+060352,10.717157860667811,0.12839504539831925,57,,False,1536,9,6.777596098258127,4.038256772034279,pass,NGC 4808 TR1
