family,color,luminosity_band,intercept_a,slope_b,relation,color_value_mag,log10_L_band_Lsun,log10_Mstar_Msun
RC15_BC03,g-r,g,-0.984000,2.029000,log10_ML=a+b*color,0.23892668359029834,7.676997726343226,7.1777799673479405
RC15_BC03,g-r,r,-0.792000,1.629000,log10_ML=a+b*color,0.23892668359029834,7.596568399779345,7.1937799673479415
RC15_BC03,g-r,z,-0.796000,1.306000,log10_ML=a+b*color,0.23892668359029834,7.648982344608955,7.165020593377884
RC15_BC03,g-z,g,-1.132000,1.116000,log10_ML=a+b*color,0.4799615456643238,7.676997726343226,7.080634811304611
RC15_BC03,g-z,r,-0.916000,0.900000,log10_ML=a+b*color,0.4799615456643238,7.596568399779345,7.112533790877237
RC15_BC03,g-z,z,-0.888000,0.716000,log10_ML=a+b*color,0.4799615456643238,7.648982344608955,7.104634811304611
RC15_BC03,r-z,g,-1.211000,2.322000,log10_ML=a+b*color,0.24103486207402547,7.676997726343226,7.025680676079112
RC15_BC03,r-z,r,-0.987000,1.883000,log10_ML=a+b*color,0.24103486207402547,7.596568399779345,7.063437045064735
RC15_BC03,r-z,z,-0.935000,1.483000,log10_ML=a+b*color,0.24103486207402547,7.648982344608955,7.071437045064735
RC15_FSPS,g-r,g,-0.811000,1.897000,log10_ML=a+b*color,0.23892668359029834,7.676997726343226,7.319241645114022
RC15_FSPS,g-r,r,-0.647000,1.497000,log10_ML=a+b*color,0.23892668359029834,7.596568399779345,7.307241645114021
RC15_FSPS,g-r,z,-0.583000,1.102000,log10_ML=a+b*color,0.23892668359029834,7.648982344608955,7.329279549925463
RC15_FSPS,g-z,g,-0.764000,0.942000,log10_ML=a+b*color,0.4799615456643238,7.676997726343226,7.365121502359019
RC15_FSPS,g-z,r,-0.612000,0.744000,log10_ML=a+b*color,0.4799615456643238,7.596568399779345,7.341659789753602
RC15_FSPS,g-z,z,-0.548000,0.542000,log10_ML=a+b*color,0.4799615456643238,7.648982344608955,7.361121502359018
RC15_FSPS,r-z,g,-0.670000,1.795000,log10_ML=a+b*color,0.24103486207402547,7.676997726343226,7.439655303766101
RC15_FSPS,r-z,r,-0.539000,1.421000,log10_ML=a+b*color,0.24103486207402547,7.596568399779345,7.400078938786535
RC15_FSPS,r-z,z,-0.487000,1.021000,log10_ML=a+b*color,0.24103486207402547,7.648982344608955,7.4080789387865345
Z17_40LG_FSPS,g-r,g,-0.684000,1.575000,log10_ML=a+b*color,0.23892668359029834,7.676997726343226,7.369307252997945
Z17_40LG_FSPS,g-r,r,-0.491000,1.175000,log10_ML=a+b*color,0.23892668359029834,7.596568399779345,7.386307252997946
Z17_40LG_FSPS,g-r,z,-0.447000,0.911000,log10_ML=a+b*color,0.23892668359029834,7.648982344608955,7.419644553359716
Z17_40LG_FSPS,g-z,g,-0.680000,0.928000,log10_ML=a+b*color,0.4799615456643238,7.676997726343226,7.442402040719719
Z17_40LG_FSPS,g-z,r,-0.486000,0.690000,log10_ML=a+b*color,0.4799615456643238,7.596568399779345,7.441741866287729
Z17_40LG_FSPS,g-z,z,-0.438000,0.528000,log10_ML=a+b*color,0.4799615456643238,7.648982344608955,7.464402040719718
Z17_40LG_FSPS,r-z,g,-0.639000,2.157000,log10_ML=a+b*color,0.24103486207402547,7.676997726343226,7.557909923836898
Z17_40LG_FSPS,r-z,r,-0.453000,1.596000,log10_ML=a+b*color,0.24103486207402547,7.596568399779345,7.528260039649489
Z17_40LG_FSPS,r-z,z,-0.404000,1.196000,log10_ML=a+b*color,0.24103486207402547,7.648982344608955,7.533260039649489
Z17_40LG_BC03,g-r,g,-0.745000,1.616000,log10_ML=a+b*color,0.23892668359029834,7.676997726343226,7.318103247025148
