galaxy_id,pair_index,rin_arcsec,rout_arcsec,sigma_hi_msun_pc2
WALLABY J124747+042017,0,4.4408920985e-16,12,1.68501463129
WALLABY J124747+042017,1,12,24,4.05539729851
WALLABY J124747+042017,2,24,36.0000000001,3.65356915917
WALLABY J124747+042017,3,36.0000000001,48.0000000001,4.6645788205
WALLABY J124747+042017,4,48.0000000001,60.0000000001,4.90758503302
WALLABY J124747+042017,5,60.0000000001,72.0000000001,4.83940275093
WALLABY J124747+042017,6,72.0000000001,84.0000000002,5.50132415329
WALLABY J124747+042017,7,84.0000000002,96.0000000002,5.19356047432
WALLABY J124747+042017,8,96.0000000002,108,4.78972032183
WALLABY J124747+042017,9,108,120,3.25882628235
WALLABY J124747+042017,10,120,132,2.85261058481
WALLABY J124747+042017,11,132,144,2.20635939325
WALLABY J124747+042017,12,144,156,1.89483224853
WALLABY J124747+042017,13,156,168,0.931949558305
WALLABY J124747+042017,14,168,180,0.56416688482
WALLABY J124747+042017,15,180,192,0.0707669002269
WALLABY J124747+042017,16,192,204,0.0223084876459
WALLABY J124747+042017,17,204,216,0.00229883970402
WALLABY J124911+032310,0,4.4408920985e-16,12,7.52868394121
WALLABY J124911+032310,1,12,24,8.36758578036
WALLABY J124911+032310,2,24,36.0000000001,8.09752308513
WALLABY J124911+032310,3,36.0000000001,48.0000000001,6.61140563019
WALLABY J124911+032310,4,48.0000000001,60.0000000001,6.09785598498
WALLABY J124911+032310,5,60.0000000001,72.0000000001,5.70295972066
WALLABY J124911+032310,6,72.0000000001,84.0000000002,5.6346242969
WALLABY J124911+032310,7,84.0000000002,96.0000000002,4.46094985752
WALLABY J124911+032310,8,96.0000000002,108,4.23328971637
WALLABY J124911+032310,9,108,120,4.00388562302
WALLABY J124911+032310,10,120,132,3.77166973807
WALLABY J124911+032310,11,132,144,2.59844917053
WALLABY J124911+032310,12,144,156,2.39249777435
WALLABY J124911+032310,13,156,168,1.48847349369
WALLABY J124911+032310,14,168,180,1.33489551199
WALLABY J124911+032310,15,180,192,1.30258147029
WALLABY J124911+032310,16,192,204,1.39425590769
WALLABY J124911+032310,17,204,216,1.01752219932
WALLABY J124911+032310,18,216,228,0.934629831312
WALLABY J124911+032310,19,228,240,0.657723358783
WALLABY J124911+032310,20,240,252.000000001,0.533804259037
WALLABY J124911+032310,21,252.000000001,264.000000001,0.236008581623
WALLABY J124911+032310,22,264.000000001,276.000000001,0.191122141253
WALLABY J124911+032310,23,276.000000001,288.000000001,0.0211985495977
WALLABY J124911+032310,24,288.000000001,300.000000001,0.0138726295557
WALLABY J124911+032310,25,300.000000001,312.000000001,0.00582275549659
WALLABY J124935+033620,0,6.00000000001,18,4.15376696905
WALLABY J124935+033620,1,18,30.0000000001,3.07602510938
WALLABY J124935+033620,2,30.0000000001,42.0000000001,0.74564071398
WALLABY J124935+033620,3,42.0000000001,54.0000000001,0.134980973294
WALLABY J124935+033620,4,54.0000000001,66.0000000001,0.00420311891873
WALLABY J124937+074725,0,6.00000000001,18,1.76664524559
WALLABY J124937+074725,1,18,30.0000000001,1.28197459616
WALLABY J124937+074725,2,30.0000000001,42.0000000001,1.279502658
WALLABY J124937+074725,3,42.0000000001,54.0000000001,0.0935727054891
WALLABY J124937+074725,4,54.0000000001,66.0000000001,0.0184014512505
WALLABY J124947+035042,0,4.4408920985e-16,12,5.67720187036
WALLABY J124947+035042,1,12,24,5.17323163784
WALLABY J124947+035042,2,24,36.0000000001,4.23633792617
WALLABY J124947+035042,3,36.0000000001,48.0000000001,3.06280475396
WALLABY J124947+035042,4,48.0000000001,60.0000000001,1.95841921755
WALLABY J124947+035042,5,60.0000000001,72.0000000001,1.2601086273
WALLABY J124947+035042,6,72.0000000001,84.0000000002,0.82450296777
WALLABY J124947+035042,7,84.0000000002,96.0000000002,0.570979217325
WALLABY J124947+035042,8,96.0000000002,108,0.252197075362
WALLABY J124947+035042,9,108,120,0.187761463494
WALLABY J124947+035042,10,120,132,0.049335618934
WALLABY J124947+035042,11,132,144,0.0310250821629
WALLABY J124947+035042,12,144,156,0.00754724668005
WALLABY J124947+035042,13,156,168,0.00584580644585
WALLABY J124947+035042,14,168,180,0.00710634167949
WALLABY J124957+040438,0,6.00000000001,18,4.32028085362
WALLABY J124957+040438,1,18,30.0000000001,1.76693207884
WALLABY J124957+040438,2,30.0000000001,42.0000000001,0.7338683507
WALLABY J124957+040438,3,42.0000000001,54.0000000001,0.0417454346836
