galaxy_id,field_id,R_HI90,R_dstar,kappa_HI,stratum
WALLABY J132229-214334,NGC5044,28.704576425,10.1798042128,2.81975721978,low
WALLABY J133629-163858,NGC5044,29.9591009878,10.4414572825,2.86924518075,low
WALLABY J130004-152151,NGC5044,47.2211899365,15.676364755,3.01225384038,low
WALLABY J125942-164952,NGC5044,29.639047922,9.74134288365,3.04260390749,low
WALLABY J133207-220728,NGC5044,28.6692520621,8.36440870698,3.42752883873,low
WALLABY J130043-154253,NGC5044,83.2327958727,22.5569861037,3.68988992989,low
WALLABY J131431-105651,NGC5044,48.9252692143,13.0895619261,3.73773159793,low
WALLABY J125937+070246,NGC4808,34.9701508226,8.88343226729,3.93655850243,low
WALLABY J130158+030601,NGC4808,45.7685187105,11.4187164947,4.00820168639,low
WALLABY J130534-154506,NGC5044,57.0830457922,14.1002590814,4.04836857696,low
WALLABY J134143-183508,NGC5044,39.1808948698,9.66139681997,4.05540685264,low
WALLABY J132635-221419,NGC5044,89.5386158353,20.9750548367,4.26881438606,low
WALLABY J130330+081941,NGC4808,42.5841488504,9.56022599882,4.45430357563,low
WALLABY J132219-164225,NGC5044,57.4259077263,12.8423151505,4.47161645337,low
WALLABY J132329-232337,NGC5044,43.7024614442,9.57177151402,4.56576521704,low
WALLABY J132259-204701,NGC5044,45.8304146765,10.0027847638,4.58176555416,low
WALLABY J133600-205437,NGC5044,51.7920371479,11.2259729818,4.61359004087,low
WALLABY J131650-214015,NGC5044,52.5160334585,11.3046479833,4.64552576392,low
WALLABY J131208+025916,NGC4808,63.9747566642,13.7703703027,4.64582689194,low
WALLABY J130618-173039,NGC5044,87.42665791,18.3436450518,4.76604609733,low
WALLABY J132157-165559,NGC5044,31.683977029,6.61444940383,4.79011556285,low
WALLABY J130244-125326,NGC5044,42.0086490919,8.73013197601,4.8119145515,low
WALLABY J130108-181149,NGC5044,61.0940749591,12.3546083123,4.94504345381,low
WALLABY J124747+042017,NGC4808,151.205188792,30.475089287,4.96159953357,low
WALLABY J130525-161217,NGC5044,27.5572967318,5.52612709224,4.98672872915,low
WALLABY J134019-235122,NGC5044,68.8582843961,13.7984674946,4.99028493005,low
WALLABY J130718-162004,NGC5044,51.4364957592,10.2687681068,5.00902301272,low
WALLABY J134128-192219,NGC5044,45.7660243018,8.9824158273,5.09506854077,low
WALLABY J125523+075436,NGC4808,48.0551636802,9.31225593398,5.16042127932,low
WALLABY J134002-252831,NGC5044,67.194047901,12.9390920572,5.19310378224,low
WALLABY J132132-152931,NGC5044,41.6719193716,7.96603373435,5.23120046453,low
WALLABY J130852+055946,NGC4808,46.0862560808,8.76892530832,5.25563332568,low
WALLABY J131145-191544,NGC5044,62.3861743764,11.6473447111,5.35625723492,low
WALLABY J132531-212650,NGC5044,37.6198309007,7.02290413175,5.35673422205,low
WALLABY J130815-210002,NGC5044,81.4587751142,15.0168696103,5.42448441174,low
WALLABY J125451+023900,NGC4808,87.0798733038,15.9576258251,5.45694417567,low
WALLABY J132620-223750,NGC5044,57.3647732267,10.3051582596,5.56660769118,low
WALLABY J133627-171544,NGC5044,35.7929372471,6.28440417945,5.69551801969,low
WALLABY J133138-232047,NGC5044,52.1274350094,9.05093818555,5.75934051706,low
WALLABY J130152-133135,NGC5044,39.4002452641,6.7487909259,5.83811910855,low
WALLABY J125832-161038,NGC5044,34.7756535991,5.95487753304,5.83986041798,low
WALLABY J132121-151214,NGC5044,34.8567264343,5.96342014716,5.84508982667,low
WALLABY J125604+034843,NGC4808,99.9342189603,17.0827723731,5.85000003382,low
WALLABY J124957+040438,NGC4808,29.5242587134,4.99150106378,5.91490582415,low
WALLABY J131017-171323,NGC5044,40.7757588629,6.89058349619,5.91760609032,low
WALLABY J133522-232056,NGC5044,40.273841434,6.74631640293,5.96975282934,low
WALLABY J132919-162832,NGC5044,43.8853016249,7.21889143359,6.07923003533,low
WALLABY J133904-240956,NGC5044,53.666298584,8.81557776124,6.08766663258,low
WALLABY J130357-112956,NGC5044,103.889195665,16.9121263968,6.14288193143,low
WALLABY J132415-164212,NGC5044,65.8579378125,10.6075742631,6.20857664335,low
WALLABY J125339+040434,NGC4808,27.7678308094,4.43964317865,6.25451859351,low
WALLABY J131739-213708,NGC5044,81.7177337165,12.7064174275,6.43121746808,low
WALLABY J131124-104927,NGC5044,29.399966554,4.54531397021,6.46819268079,low
WALLABY J132811-240540,NGC5044,39.7106520343,6.12517304667,6.4831885943,low
WALLABY J132145-154135,NGC5044,35.8655268149,5.51241825691,6.50631449635,low
WALLABY J133607-222504,NGC5044,42.0904149018,6.43757683686,6.53823883869,low
WALLABY J134533-145830,NGC5044,65.2756256228,9.97357722926,6.54485588494,low
WALLABY J130010-130042,NGC5044,40.1164487527,6.09546913572,6.58135540669,low
WALLABY J133702-205515,NGC5044,39.3699030762,5.86844152027,6.708749323,low
WALLABY J125931-140755,NGC5044,58.9354722349,8.76704621776,6.72238639686,low
WALLABY J132415-232043,NGC5044,68.3322810547,10.1609696443,6.72497639957,low
WALLABY J131441-184647,NGC5044,44.1032003043,6.45901737411,6.82815941649,low
WALLABY J132648-250524,NGC5044,32.6427488922,4.77301348452,6.83902297743,low
WALLABY J130645-164412,NGC5044,35.2815848378,5.15293534683,6.84689064836,low
WALLABY J132634-222458,NGC5044,38.015932978,5.5115805313,6.89746484917,low
WALLABY J133048-251954,NGC5044,51.2397449227,7.39204009776,6.93174607349,low
WALLABY J130901+072007,NGC4808,33.0188925258,4.72951847903,6.98144909935,low
WALLABY J133351-224126,NGC5044,33.2149067339,4.71690153957,7.04167904614,low
WALLABY J133756-240727,NGC5044,63.9832895896,9.00312864802,7.10678388492,low
WALLABY J125836-161333,NGC5044,41.3146422158,5.79954542232,7.1237725041,low
WALLABY J130415-102023,NGC5044,225.308576525,31.6268151736,7.1239729732,low
WALLABY J130016-170140,NGC5044,41.5781196669,5.80786502024,7.15893353616,low
WALLABY J131222-143329,NGC5044,32.9119422397,4.58972463676,7.17078797628,low
WALLABY J130846-175751,NGC5044,40.9562341666,5.67709363656,7.21429604452,low
WALLABY J131650-184634,NGC5044,39.8141738344,5.51842062886,7.21477692842,low
WALLABY J130857-153100,NGC5044,109.933306014,15.1904106073,7.23702004218,low
WALLABY J130224-155038,NGC5044,41.4300963213,5.63818151111,7.34813099572,low
WALLABY J130440+075733,NGC4808,41.0125724188,5.56332079743,7.37195892744,low
WALLABY J130148-114530,NGC5044,68.3351081745,9.19836402271,7.42905020999,low
WALLABY J130320-193543,NGC5044,34.0420766663,4.51690943149,7.53658606236,low
WALLABY J130654-154854,NGC5044,43.4555570166,5.75711128389,7.54815303609,low
WALLABY J132136-203629,NGC5044,43.8613441047,5.81011472192,7.54913563741,low
WALLABY J133242-233015,NGC5044,32.5096163537,4.3025178627,7.55595151284,low
WALLABY J130829-204924,NGC5044,42.5929040075,5.62297986211,7.57479220129,low
WALLABY J125700-171910,NGC5044,66.6475003929,8.77175681109,7.59796490352,low
WALLABY J133422-234348,NGC5044,39.6658154771,5.19693670748,7.63253772554,low
WALLABY J133841-202243,NGC5044,48.7049958694,6.33406237925,7.68937736214,low
WALLABY J130445-190601,NGC5044,35.2229032703,4.58043895119,7.68985323146,low
WALLABY J131132-144033,NGC5044,54.7180482211,7.09812062586,7.70880788103,low
WALLABY J133933-145203,NGC5044,33.9615711101,4.39348093715,7.72999168448,low
WALLABY J130315+074816,NGC4808,107.471287812,13.7648937016,7.80763659653,low
WALLABY J130659-151041,NGC5044,30.7475744485,3.88559290865,7.91322590178,low
WALLABY J130854-171416,NGC5044,45.1563509935,5.69759177969,7.92551532991,low
WALLABY J133134-240142,NGC5044,42.2285344759,5.32801990818,7.92574637551,low
WALLABY J133735-163755,NGC5044,48.8738874032,6.15276877766,7.94339738244,low
WALLABY J130739+075909,NGC4808,47.9773948181,6.02558634632,7.96227820176,low
WALLABY J130338+075404,NGC4808,36.5198895757,4.55215868085,8.0225431792,low
WALLABY J125605+053051,NGC4808,49.8995089741,6.21214465578,8.03257356985,low
WALLABY J130753-205916,NGC5044,53.030888242,6.57519791107,8.06529156373,low
WALLABY J134437-235646,NGC5044,39.8375583604,4.92913856815,8.08205283938,low
WALLABY J130947-101916,NGC5044,105.512260713,13.0491108845,8.08578160205,low
WALLABY J134306-193556,NGC5044,40.9962155077,5.04160585676,8.13157884064,low
WALLABY J130358+054204,NGC4808,80.131694134,9.75282196748,8.21625724341,low
WALLABY J132124-160619,NGC5044,33.6680418088,4.06909430205,8.27408737906,low
WALLABY J125757-130339,NGC5044,108.449811745,13.086471016,8.28717013261,low
WALLABY J130241+055729,NGC4808,50.4544319261,6.08438941536,8.29243963227,low
WALLABY J125507+040229,NGC4808,45.0806207193,5.42939763527,8.30306117689,low
WALLABY J130759-180456,NGC5044,47.7115344821,5.7285715033,8.32869668374,low
WALLABY J125912-124101,NGC5044,44.3898561636,5.30243833585,8.37159309586,low
WALLABY J134150-175703,NGC5044,23.5493222815,2.81163744976,8.37566105243,low
WALLABY J131033-170323,NGC5044,34.8699190217,4.15777854471,8.38667058544,low
WALLABY J131321-185558,NGC5044,57.8830935579,6.89993348353,8.38893500873,low
WALLABY J130254-155621,NGC5044,31.6527347143,3.76982833611,8.39633317282,low
WALLABY J130922-201247,NGC5044,44.6197948213,5.29246143446,8.4308209656,low
WALLABY J133253-241226,NGC5044,58.9862620375,6.93628637085,8.50401192854,low
WALLABY J130630-112046,NGC5044,35.11681251,4.07544654257,8.61667847761,low
WALLABY J130223-122031,NGC5044,66.1147658629,7.65926575789,8.63199789024,low
WALLABY J130528-111138,NGC5044,46.3973498541,5.35669703387,8.66155945739,low
WALLABY J133308-233234,NGC5044,42.6702340925,4.92587552024,8.66246699032,low
WALLABY J130629-133413,NGC5044,64.7842058892,7.47115455296,8.67124424076,low
WALLABY J130158-164401,NGC5044,35.6908081086,4.10289574299,8.69893127789,low
WALLABY J130121-133904,NGC5044,38.501479384,4.41162479073,8.72727877151,low
