galaxy_id,field_id,release_phase,distance_mpc,logMstar,logMHI,ell_maj_beams,R_HI90,R_dstar,R_HI90_arcsec,R50_r_arcsec,R_dstar_arcsec,kappa_HI,crossfit_phase_bit,crossfit_dropped_source_index,crossfit_n_source_used,crossfit_n_paired_bins,hi_mass_renorm_scale
WALLABY J124747+042017,NGC4808,2,14.0960337741,9.14072358426,9.14274653455,4.99031270675,151.205188792,30.475089287,151.205188792,51.1477743753,30.475089287,4.96159953356,1,,36,18,0.0876542205375
WALLABY J124911+032310,NGC4808,2,10.3780780851,9.00232374363,9.07078050242,6.55117370238,214.192515049,11.2053579985,214.192515049,18.8064788688,11.2053579985,19.1151871344,1,,52,26,0.0880245084915
WALLABY J124935+033620,NGC4808,2,101.364507455,9.86818661713,9.45685716255,1.19124738468,39.1281626595,3.41332355127,39.1281626595,5.72874130822,3.41332355127,11.4633617563,0,0,10,5,0.111482479869
WALLABY J124937+074725,NGC4808,2,234.969158246,9.82977057113,10.0059963002,1.3268911092,41.1282119918,3.43561363282,41.1282119918,5.7661517995,3.43561363282,11.9711400604,1,0,10,5,0.119576403741
WALLABY J124947+035042,NGC4808,2,9.93475282534,7.34640102787,8.11700097737,2.821439538,92.1684514099,8.95164301224,92.1684514099,15.0239631053,8.95164301224,10.296260841,0,,30,15,0.0953454767287
WALLABY J124957+040438,NGC4808,2,145.416774641,8.99590194559,9.66791675241,1.08438498273,29.5242587134,4.99150106378,29.5242587134,8.37747078605,4.99150106378,5.91490582416,1,0,10,5,0.114263976367
WALLABY J125012+073442,NGC4808,2,163.529566945,10.809439391,10.2406289468,2.71957128164,93.9918396572,3.32281340163,93.9918396572,5.57683387102,3.32281340163,28.2868245358,1,0,30,15,0.105437260168
WALLABY J125112+045132,NGC4808,2,107.623850916,10.861891625,9.9700329587,1.79411140746,54.74429284,5.77071851058,54.74429284,9.68526804247,5.77071851058,9.48656440955,0,,24,12,0.094676803645
WALLABY J125114+052031,NGC4808,2,107.360599577,9.43390581505,9.58670125565,1.49992575181,46.6061567477,3.65381750745,46.6061567477,6.13237361571,3.65381750745,12.7554692189,1,,12,6,0.101284236726
WALLABY J125121+063829,NGC4808,2,214.233982976,9.70697767066,9.85746839887,0.946875318858,28.4034749311,2.32612045364,28.4034749311,3.90403726178,2.32612045364,12.2106638488,1,0,8,4,0.1080260099
WALLABY J125133+080241,NGC4808,2,51.3775869661,8.77402873603,9.08130385677,2.02790876281,65.8568378484,2.61838976884,65.8568378484,4.39456658722,2.61838976884,25.1516556596,1,0,22,11,0.0988904553821
WALLABY J125134+055147,NGC4808,2,208.611369723,10.7466207422,9.92575690599,1.18073983892,41.2493335822,3.35265856129,41.2493335822,5.62692440489,3.35265856129,12.3034698667,1,,12,6,0.0965105685475
WALLABY J125156+035954,NGC4808,2,109.837681943,8.76018568946,9.53001706552,1.50317024943,46.3770911892,2.86791761937,46.3770911892,4.81336090408,2.86791761937,16.1709983843,1,,18,9,0.0948043038363
WALLABY J125243+075643,NGC4808,2,165.426794278,9.91870307891,9.85922134414,1.74878737283,54.3809232006,3.33570167101,54.3809232006,5.59846485913,3.33570167101,16.302693875,1,,16,8,0.10844109259
WALLABY J125339+040434,NGC4808,2,12.6698392496,7.39095199628,7.13005553455,0.798391737365,27.7678308094,4.43964317865,27.7678308094,7.45126176564,4.43964317865,6.2545185935,0,,8,4,0.103878516545
WALLABY J125413+052149,NGC4808,2,206.737809986,10.5356225366,10.2089024335,1.4348180196,45.3424309261,3.820356066,45.3424309261,6.41188310415,3.820356066,11.868640028,0,,16,8,0.0931464742585
WALLABY J125441+050734,NGC4808,2,179.820865248,9.20576171506,9.47398718467,0.812425027773,28.4456784814,2.30730820049,28.4456784814,3.87246377333,2.30730820049,12.3285127125,1,0,8,4,0.118107473542
WALLABY J125451+023900,NGC4808,2,13.3014761394,8.27971746805,8.83550545761,2.68683579706,87.0798733038,15.9576258251,87.0798733038,26.7824332714,15.9576258251,5.45694417567,1,,24,12,0.0916132842485
